name,score,popularity,genres,studios,type,year,episodes,themes,demographic,members,synopsis,features
Anitore! EX,5.39,4219.0,Sports,Rising Force,TV,2015.0,12.0,,,34707.0,,Sports Rising Force TV  
Ushinawareta Mirai wo Motomete: Ushinawareta Natsuyasumi wo Motomete,6.72,6929.0,Romance,feel.,Special,,1.0,Time Travel,,10432.0,,Romance feel. Special Time Travel 
Classroom☆Crisis: Tabi no Haji wa Uwanuri,6.37,8176.0,Sci-Fi,Lay-duce,Special,,1.0,"School, Space",,6906.0,,"Sci-Fi Lay-duce Special School, Space "
Larva,6.18,11109.0,Comedy,TUBA,TV,2011.0,104.0,,,2879.0,,Comedy TUBA TV  
Manaria Friends,6.68,1888.0,"Fantasy, Slice of Life",CygamesPictures,TV,2019.0,10.0,"Iyashikei, School",,133905.0,,"Fantasy, Slice of Life CygamesPictures TV Iyashikei, School "
Kyoufu! Zombie Neko,5.89,13513.0,Comedy,Kachidoki Studio,TV,2015.0,52.0,,,1416.0,,Comedy Kachidoki Studio TV  
Sekkou Boys,6.25,3281.0,Comedy,LIDENFILMS,TV,2016.0,12.0,"Anthropomorphic, Idols (Male), Music",,55236.0,,"Comedy LIDENFILMS TV Anthropomorphic, Idols (Male), Music "
Ryouma 30 Seconds,,18417.0,,,TV,2009.0,5.0,Historical,,457.0,,  TV Historical 
Peeping Life TV: Season 1??,5.67,11146.0,"Comedy, Slice of Life","Tatsunoko Production, CoMix Wave Films, FOREST Hunting One",TV,2015.0,12.0,,,2854.0,,"Comedy, Slice of Life Tatsunoko Production, CoMix Wave Films, FOREST Hunting One TV  "
Yurumates 3D Plus: Natsuyasumi Maison du Wish Report,6.08,14167.0,Slice of Life,,OVA,,1.0,Adult Cast,Seinen,1190.0,,Slice of Life  OVA Adult Cast Seinen
Durarara!!x2 Ten: Onoroke Chakapoko,7.52,3247.0,"Action, Mystery, Supernatural",Shuka,Special,,1.0,,,56220.0,,"Action, Mystery, Supernatural Shuka Special  "
Charlotte: Tsuyoimono-tachi,7.5,1322.0,Drama,P.A. Works,Special,,1.0,"School, Super Power",,204392.0,,"Drama P.A. Works Special School, Super Power "
Doushitemo Eto ni Hairitai,5.99,16482.0,Comedy,Pollyanna Graphics,TV,2015.0,13.0,,,662.0,,Comedy Pollyanna Graphics TV  
Prince of Stride: Alternative,6.9,1470.0,Sports,Madhouse,TV,2016.0,12.0,School,,181001.0,,Sports Madhouse TV School 
Miss Monochrome The Animation 3,6.51,5797.0,Comedy,"SANZIGEN, LIDENFILMS",TV,2015.0,13.0,"Idols (Female), Music",,16214.0,,"Comedy SANZIGEN, LIDENFILMS TV Idols (Female), Music "
Gangsta. Recap,6.47,5078.0,"Action, Drama",Manglobe,TV Special,,1.0,"Adult Cast, Organized Crime",Seinen,22701.0,,"Action, Drama Manglobe TV Special Adult Cast, Organized Crime Seinen"
Neko no Dayan: Nihon e Iku,,18169.0,Fantasy,Kachidoki Studio,TV,2015.0,12.0,Anthropomorphic,Kids,476.0,,Fantasy Kachidoki Studio TV Anthropomorphic Kids
"Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku",6.09,17462.0,,EMT Squared,TV Special,,1.0,Historical,,539.0,, EMT Squared TV Special Historical 
Sansha Sanyou,7.09,2994.0,Comedy,Doga Kobo,TV,2016.0,12.0,"CGDCT, School",,65683.0,,"Comedy Doga Kobo TV CGDCT, School "
Ketsuekigata-kun! 3,6.28,10010.0,Comedy,"feel., Zexcs, Assez Finaud Fabric",TV,2015.0,12.0,Anthropomorphic,,3998.0,,"Comedy feel., Zexcs, Assez Finaud Fabric TV Anthropomorphic "
Brave Beats,6.46,9077.0,Adventure,Bandai Namco Pictures,TV,2015.0,22.0,Music,,5315.0,,Adventure Bandai Namco Pictures TV Music 
Offside,5.72,16407.0,"Drama, Sports",,OVA,,1.0,Team Sports,,672.0,,"Drama, Sports  OVA Team Sports "
JK Meshi!,4.62,,,,,,,,,,,    
Ajin,7.38,390.0,"Action, Horror, Mystery, Supernatural",Polygon Pictures,TV,2016.0,13.0,Gore,Seinen,616633.0,,"Action, Horror, Mystery, Supernatural Polygon Pictures TV Gore Seinen"
Tsuritama: Harikitte Contest,5.91,10282.0,"Comedy, Sci-Fi, Slice of Life, Sports",A-1 Pictures,Special,,1.0,,,3648.0,,"Comedy, Sci-Fi, Slice of Life, Sports A-1 Pictures Special  "
All Out!!,7.04,2067.0,Sports,"Madhouse, TMS Entertainment",TV,2016.0,25.0,"School, Team Sports",Seinen,118793.0,,"Sports Madhouse, TMS Entertainment TV School, Team Sports Seinen"
Pokemon XY&Z,7.8,1636.0,"Action, Adventure, Comedy, Fantasy",OLM,TV,2015.0,47.0,,Kids,159481.0,,"Action, Adventure, Comedy, Fantasy OLM TV  Kids"
Rokka no Yuusha Picture Drama,6.41,6282.0,"Action, Adventure, Fantasy, Mystery",Passione,Special,,3.0,,,13151.0,,"Action, Adventure, Fantasy, Mystery Passione Special  "
Luger Code 1951,6.41,,,,,,,,,,,    
Kaette Kite yoo Toyama kara,5.26,17766.0,"Comedy, Mystery",DLE,ONA,,4.0,,,510.0,,"Comedy, Mystery DLE ONA  "
Kana Kana Kazoku: Rika in Wonderland,5.13,18451.0,Comedy,,ONA,,1.0,,,455.0,,Comedy  ONA  
Teekyuu 4 Specials,6.34,8435.0,"Comedy, Sports",Millepensee,Special,,2.0,School,Shounen,6398.0,,"Comedy, Sports Millepensee Special School Shounen"
Kyoukai no Rinne 2nd Season,7.14,4108.0,"Comedy, Supernatural",Brain's Base,TV,2016.0,25.0,"Mythology, School",Shounen,36601.0,,"Comedy, Supernatural Brain's Base TV Mythology, School Shounen"
Kanojo ga Kanji wo Suki na Riyuu.,5.47,11850.0,Slice of Life,Studio 4°C,ONA,,2.0,School,,2328.0,,Slice of Life Studio 4°C ONA School 
Ooya-san wa Shishunki!,6.51,3317.0,Slice of Life,Seven Arcs Pictures,TV,2016.0,12.0,,,54174.0,,Slice of Life Seven Arcs Pictures TV  
Granblue Fantasy The Animation,6.62,1271.0,"Action, Adventure, Fantasy",A-1 Pictures,TV,2017.0,13.0,,,212361.0,,"Action, Adventure, Fantasy A-1 Pictures TV  "
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",6.54,1757.0,"Comedy, Drama, Mystery",A-1 Pictures,TV,2016.0,24.0,"Adult Cast, Detective, Workplace",,146425.0,,"Comedy, Drama, Mystery A-1 Pictures TV Adult Cast, Detective, Workplace "
Monster Hunter Stories: Ride On,6.29,5766.0,Fantasy,David Production,TV,2016.0,75.0,,,16453.0,,Fantasy David Production TV  
Sushi Police,4.66,6068.0,"Comedy, Gourmet, Mystery",KOO-KI,TV,2016.0,13.0,Detective,,14341.0,,"Comedy, Gourmet, Mystery KOO-KI TV Detective "
Kokuhaku,2.41,7829.0,Horror,,ONA,,1.0,,,7650.0,,Horror  ONA  
Dagashi Kashi,6.6,517.0,"Comedy, Gourmet",feel.,TV,2016.0,12.0,,Shounen,482329.0,,"Comedy, Gourmet feel. TV  Shounen"
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",7.71,411.0,"Action, Adventure, Fantasy",A-1 Pictures,TV,2016.0,12.0,"Isekai, Military",,592474.0,,"Action, Adventure, Fantasy A-1 Pictures TV Isekai, Military "
Mr. Shape: High Touch Taisou,5.3,19986.0,,,ONA,,1.0,Music,Kids,344.0,,  ONA Music Kids
Fuusen Inu Tinny 2nd Season,,19196.0,Adventure,Steve N' Steven,TV,2015.0,26.0,,Kids,399.0,,Adventure Steve N' Steven TV  Kids
Persona 5 the Animation: The Day Breakers,7.05,3161.0,Action,A-1 Pictures,TV Special,,1.0,Super Power,,59149.0,,Action A-1 Pictures TV Special Super Power 
3-gatsu no Lion,8.37,315.0,Drama,Shaft,TV,2016.0,22.0,"Childcare, Strategy Game",Seinen,720646.0,,"Drama Shaft TV Childcare, Strategy Game Seinen"
Ponkotsuland Saga,4.57,11332.0,Comedy,Pie in the sky,ONA,,3.0,Parody,,2696.0,,Comedy Pie in the sky ONA Parody 
Taimanin Asagi 2,6.35,7071.0,"Supernatural, Hentai",T-Rex,OVA,,2.0,,,9953.0,,"Supernatural, Hentai T-Rex OVA  "
Kuroko no Basket Movie 4: Last Game,8.08,792.0,Sports,Production I.G,Movie,,1.0,"School, Team Sports",Shounen,338366.0,,"Sports Production I.G Movie School, Team Sports Shounen"
Hibike! Euphonium: Kakedasu Monaka,7.5,3041.0,Drama,Kyoto Animation,Special,,1.0,"Music, Performing Arts, School",,63851.0,,"Drama Kyoto Animation Special Music, Performing Arts, School "
Ponkotsu Quest: Maou to Haken no Mamono-tachi,,16152.0,"Comedy, Fantasy",Pie in the sky,ONA,,,Parody,,712.0,,"Comedy, Fantasy Pie in the sky ONA Parody "
Teekyuu 5 Specials,6.2,9193.0,"Comedy, Sports",Millepensee,Special,,2.0,School,Shounen,5155.0,,"Comedy, Sports Millepensee Special School Shounen"
Takamiya Nasuno desu! Teekyuu Spin-off Special,5.89,10776.0,Comedy,Millepensee,Special,,1.0,,Shounen,3171.0,,Comedy Millepensee Special  Shounen
Kaitou Joker 3rd Season,7.24,8721.0,"Adventure, Comedy, Mystery",Shin-Ei Animation,TV,2016.0,13.0,,Kids,5921.0,,"Adventure, Comedy, Mystery Shin-Ei Animation TV  Kids"
Ojarumaru: Wasureta Mori no Hinata,,20197.0,"Adventure, Comedy, Fantasy, Slice of Life",Gallop,Special,,1.0,,Kids,330.0,,"Adventure, Comedy, Fantasy, Slice of Life Gallop Special  Kids"
Larva 2nd Season,6.42,12317.0,Comedy,,TV,2013.0,52.0,,,2042.0,,Comedy  TV  
Larva 3rd Season,6.44,,,,,,,,,,,    
Haikyuu!! Quest Picture Drama,6.68,4909.0,"Comedy, Fantasy",Production I.G,OVA,,3.0,Strategy Game,Shounen,24727.0,,"Comedy, Fantasy Production I.G OVA Strategy Game Shounen"
Persona 2: Another Self,6.28,8096.0,"Action, Fantasy, Supernatural",Satelight,Special,,1.0,Mythology,,7044.0,,"Action, Fantasy, Supernatural Satelight Special Mythology "
Long Zhi Gu: Jingling Wangzuo,7.3,9286.0,"Action, Adventure, Fantasy",Mili Pictures,Movie,,1.0,,,4993.0,,"Action, Adventure, Fantasy Mili Pictures Movie  "
Super Lovers,6.7,1691.0,"Boys Love, Comedy, Drama",Studio Deen,TV,2016.0,10.0,,,152748.0,,"Boys Love, Comedy, Drama Studio Deen TV  "
Danchigai: Juusan Goutou Sentou Ikitai!!,6.42,4956.0,Slice of Life,Creators in Pack,Special,,1.0,Iyashikei,,24196.0,,Slice of Life Creators in Pack Special Iyashikei 
